Občina,Kategorija,Tip,Register,Naslov,Leto,Št. izd,Zaporedna št. ,Link,Opombe
Pesnica,Pokopališča,,Lex localis,Odlok o pokopališkem in pogrebnem redu ter urejanju pokopališč v Občini Pesnica,2003,13,223,http://www.lex-localis.info/KatalogInformacij/PodrobnostiDokumenta.aspx?SectionID=2bf6d149-ef4c-4d32-a637-2b745129786f,
Pesnica,Pokopališča,,Lex localis,Odlok o dopolnitvah odloka o pokopališkem in pogrebnem redu ter urejanju pokopališč v občini Pesnica,2007,18,299,http://www.lex-localis.info/KatalogInformacij/PodrobnostiDokumenta.aspx?SectionID=cd3cedea-2e1e-407a-9070-62ea475de18d,
Pesnica,Plakatiranje/oglaševanje,,Lex localis,Odlok o plakatiranju in oglaševanju v občini Pesnica,1998,19,,http://www.lex-localis.info/KatalogInformacij/PodrobnostiDokumenta.aspx?SectionID=ed6dfb35-5ef9-4486-8a55-6fc14c6da1d7,
Pesnica,Turistična taksa,,Lex localis,Odlok o turistični in promocijski taksi v Občini Pesnica,2019,9,191,http://www.lex-localis.info/KatalogInformacij/PodrobnostiDokumenta.aspx?SectionID=76fdaddc-5739-4d21-b225-d07d42fb7761,
Pesnica,Zelene površine,,Lex localis,Odlok o javnem redu in mini v občini Pesnic,1998,2,,http://www.lex-localis.info/KatalogInformacij/PodrobnostiDokumenta.aspx?SectionID=0ee92bc7-9460-49e5-a935-a7f145c542d2,
Pesnica,Okolje in prostor,,Lex localis,Odlok o prostorskih ureditvenih pogojih v Občini Pesnica,2017,,,http://www.lex-localis.info/KatalogInformacij/PodrobnostiDokumenta.aspx?SectionID=a3e495e8-3835-436b-9ee3-8fd8f11998a3,Original ni dostopen – edini na voljo je odlok o spremembah
Benedikt,Ceste,,Uradni list RS,Odlok o občinskih cestah v Občini Benedikt,1999,82,3926,https://www.uradni-list.si/1/objava.jsp?sop=1999-01-3926,
Benedikt,Ceste,,Uradni list RS,Odlok o kategorizaciji občinskih cest na območju Občine Benedikt,2008,35,1437,https://www.uradni-list.si/1/objava.jsp?sop=2008-01-1437,
Benedikt,Ceste,,Lex localis,Odlok o načinu opravljanja lokalne gospodarske javne službe vzdrževanja občinskih javnih cest in drugih prometnih površin v Občini Benedikt,2015,7,,http://www.lex-localis.info/KatalogInformacij/VsebinaDokumenta.aspx?SectionID=d993a720-14db-4267-a693-a060fb2b0d6f,
Benedikt,Odpadki,,Lex localis,Odlok o načinu opravljanja obveznih lokalnih gospodarskih javnih služb ravnanja s komunalnimi odpadki v Občini Benedikt,2015,66,,http://www.lex-localis.info/KatalogInformacij/VsebinaDokumenta.aspx?SectionID=c4ea41a6-574a-413d-bea2-6bc2c5384c80,
Benedikt,Odpadki,,Lex localis,Tehnični pravilnik o ravnanju s komunalnimi odpadki v Občini Benedikt,2017,60,,http://www.lex-localis.info/KatalogInformacij/VsebinaDokumenta.aspx?SectionID=fc712bbe-2ef4-4fec-9dc4-46a3e0680144,
Benedikt,Komunalne in padavinske vode,,Lex localis,Odlok o načinu opravljanja lokalne gospodarske javne službe odvajanja in čiščenja komunalne in padavinske odpadne vode v Občini Benedikt,2017,15,,http://www.lex-localis.info/KatalogInformacij/VsebinaDokumenta.aspx?SectionID=7df56f4a-d3b8-417e-a7c5-594721f14cf7,
Benedikt,Pitna voda,,Lex localis,Odlok o načinu opravljanja lokalne gospodarske javne službe oskrbe s pitno vodo v Občini Benedikt,2014,16,,http://www.lex-localis.info/KatalogInformacij/VsebinaDokumenta.aspx?SectionID=4b1626a9-6dc8-45ef-9238-fc8b621d8bf6,
Benedikt,Pokopališča,,Lex localis,Odlok o pokopališkem redu za pokopališča v Občini Benedikt,2013,53,,http://www.lex-localis.info/KatalogInformacij/VsebinaDokumenta.aspx?SectionID=524c5777-7c10-4d14-a185-5934140ef044,
Benedikt,Plakatiranje/oglaševanje,,Uradni list RS,Odlok o plakatiranju v Občini Benedikt,2008,72,3165,https://www.uradni-list.si/1/objava.jsp?sop=2008-01-3165,
Benedikt,Turistična taksa,,Lex localis,Odlok o turistični in promocijski taksi v občini Benedikt,2018,25,,http://www.lex-localis.info/KatalogInformacij/VsebinaDokumenta.aspx?SectionID=636293bf-8f63-492e-b053-22d2593bcf2c,
Benedikt,Zelene površine,,Lex localis,Odlok o javnem redu in miru na območju Občine Benedikt,2020,30,,http://www.lex-localis.info/UradnoGlasiloObcin/VsebinaDokumenta.aspx?SectionID=0fccfa6a-70bd-4da6-b6f5-96173c06729e,
Cerkvenjak,Pitna voda,,Lex localis,Odlok o načinu opravljanja lokalne gospodarske javne službe oskrbe s pitno vodo v Občini Cerkvenjak,2014,25,,http://www.lex-localis.info/KatalogInformacij/PodrobnostiDokumenta.aspx?SectionID=5b8a31e3-5d7b-41d8-91d4-9fd20f870346,
Cerkvenjak,Odpadki,,Lex localis,Odlok o predmetu in pogojih opravljanja obveznih lokalnih gospodarskih javnih služb ravnanja s komunalnimi odpadki v Občini Cerkvenjak,2016,6,,http://www.lex-localis.info/KatalogInformacij/PodrobnostiDokumenta.aspx?SectionID=03b3976a-ab01-4f04-ab22-403de036b92b,
Cerkvenjak,Odpadki,,Lex localis,Odlok o načinu opravljanja obveznih lokalnih gospodarskih javnih služb ravnanja s komunalnimi odpadki v Občini Cerkvenjak,2016,2,,http://www.lex-localis.info/KatalogInformacij/PodrobnostiDokumenta.aspx?SectionID=27f78301-4813-4135-b24e-202228dfd6e4,
Cerkvenjak,Komunalne in padavinske vode,,Lex localis,Odlok o načinu opravljanja lokalne gospodarske javne službe odvajanja in čiščenja komunalne in padavinske odpadne vode v Občini Cerkvenjak,2013,51,,http://www.lex-localis.info/KatalogInformacij/PodrobnostiDokumenta.aspx?SectionID=3bd87868-2b10-4156-bfa4-e79768a54454,
Cerkvenjak,Ceste,,Lex localis,Odlok o kategorizaciji občinskih cest v občini Cerkvenjak,2009,25,365,http://www.lex-localis.info/KatalogInformacij/PodrobnostiDokumenta.aspx?SectionID=d95ab54f-2c7b-4d1d-8dc7-8ed6562d48b7,
Cerkvenjak,Ceste,,Lex localis,Odlok o spremembah in dopolnitvah odloka o kategorizaciji občinskih cest v občini Cerkvenjak ,2010,20,326,http://www.lex-localis.info/KatalogInformacij/PodrobnostiDokumenta.aspx?SectionID=b7b69875-4272-4c61-bf7a-aab48b4b65be,
Cerkvenjak,,,Lex localis,Odlok o prodaji blaga zunaj prodajaln na območju Občine Cerkvenjak,2014,18,,http://www.lex-localis.info/KatalogInformacij/PodrobnostiDokumenta.aspx?SectionID=a31f29ed-e7d2-4ce2-93be-194dc68162e1,
Cerkvenjak,,,Lex localis,Odlok o lokalnih gospodarskih javnih službah v Občini Cerkvenjak ,2010,20,,http://www.lex-localis.info/KatalogInformacij/PodrobnostiDokumenta.aspx?SectionID=a5bdb1c3-3297-42dc-a24e-10d396b7a96d,
Cerkvenjak,Turistična taksa,,Lex localis,Odlok o turistični taksi v Občini Cerkvenjak,2007,33,,http://www.lex-localis.info/KatalogInformacij/PodrobnostiDokumenta.aspx?SectionID=84ae3524-7a8a-4d15-9dc1-200a33313149,
